provinsi,year,wilayah,tpt,pe,defis,ginim,idi,popd,pvty (Head Count Index ),ginis,sch,hdi,nac,shuc,internet,pop,exp,psectorsize,gdpc,femaleprof,glroadprov,tlroadprov,pgi
BENGKULU,2014,KBI,4.79,3.74,0.001235897,0.404,71.7,93,17.09,0.355,8.28,68.06,1686,73263,32.03,1845,1235897.061,0.19521299,19626.72,50.75,0.521828104,1466,2.85
BENGKULU,2015,KBI,5.14,3.44,0.001348565,0.405,73.6,94,17.16,0.371,8.29,68.59,1709,73378,38.19,1875,1348565.459,0.199199644,20302.48,52.27,0.506078055,1563,3.63
LAMPUNG,2010,KBI,5.63,0,0.002082984,0.309,67.8,220,18.94,0.36,7.26,63.71,1996,72511,19.53,7608,2082983.754,0.082914669,19722.39,46.07,0.506352087,551,2.98
LAMPUNG,2011,KBI,3.86,5.16,0.002076583,0.373,74.08,223,16.93,0.322,7.28,64.2,2249,287649,16.33,7736,2076582.548,0.083057802,20739.31,49.21,0.506352087,551,2.77
LAMPUNG,2012,KBI,3.43,5.09,0.002587949,0.396,72.26,226,15.65,0.356,7.3,64.87,2249,287649,20.48,7835,2587948.619,0.082857541,21794.83,51.21,0.506352087,551,2.53
LAMPUNG,2013,KBI,3.65,4.48,0.002672257,0.412,63.13,229,14.39,0.356,7.32,65.73,2875,82193,19.62,7932,2672256.667,0.081628282,22770.68,49.14,0.524500907,551,2.23
LAMPUNG,2014,KBI,5.14,3.85,0.002570176,0.4,71.62,232,14.21,0.331,7.48,66.42,3041,386044,22.93,8026,2570176.236,0.079627173,23647.27,51.08,0.523915462,899,2.3
LAMPUNG,2015,KBI,6.29,3.95,0.002711731,0.403,65.95,234,13.53,0.352,7.56,66.95,2760,1259833,27.66,8117,2711730.851,0.084660088,24581.78,46.24,0.521432766,1703,2.36
KEP. BANGKA BELITUNG,2010,KBI,6.9,0,0.001067207,0.255,65.94,75,6.51,0.296,7.07,66.02,633,27920,22.18,1223,1067207.075,0.097861097,28906.78,46.37,0.506078055,1563,0.93
KEP. BANGKA BELITUNG,2011,KBI,5.38,4.52,0.001107282,0.314,67.13,77,5.75,0.32,7.19,66.59,707,34563,24.29,1258,1107282.312,0.099046558,30212.18,52.93,0.506078055,1563,0.66
